codigo,codigo_formatado,descricao
110501,11.05.01,"Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza."
120101,12.01.01,Espetáculos teatrais.
120201,12.02.01,Exibições cinematográficas.
120301,12.03.01,Espetáculos circenses.
120401,12.04.01,Programas de auditório.
120501,12.05.01,"Parques de diversões, centros de lazer e congêneres."
120601,12.06.01,"Boates, taxi-dancing e congêneres."
120701,12.07.01,"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres."
120801,12.08.01,"Feiras, exposições, congressos e congêneres."
120901,12.09.01,Bilhares.
120902,12.09.02,Boliches.
120903,12.09.03,Diversões eletrônicas ou não.
121001,12.10.01,Corridas e competições de animais.
121101,12.11.01,"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador."
121201,12.12.01,Execução de música.
121301,12.13.01,"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres."
121401,12.14.01,"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo."
121501,12.15.01,"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres."
121601,12.16.01,"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres."
121701,12.17.01,"Recreação e animação, inclusive em festas e eventos de qualquer natureza."
130201,13.02.01,"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres."
130301,13.03.01,"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres."
130401,13.04.01,"Reprografia, microfilmagem e digitalização."
130501,13.05.01,"Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS."
140101,14.01.01,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)."
140201,14.02.01,Assistência técnica.
140301,14.03.01,"Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)."
140401,14.04.01,Recauchutagem ou regeneração de pneus.
140501,14.05.01,"Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer."
140601,14.06.01,"Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido."
140701,14.07.01,Colocação de molduras e congêneres.
140801,14.08.01,"Encadernação, gravação e douração de livros, revistas e congêneres."
140901,14.09.01,"Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento."
141001,14.10.01,Tinturaria e lavanderia.
141101,14.11.01,Tapeçaria e reforma de estofamentos em geral.
141201,14.12.01,Funilaria e lanternagem.
141301,14.13.01,Carpintaria.
141302,14.13.02,Serralheria.
141401,14.14.01,Guincho intramunicipal.
141402,14.14.02,Guindaste e içamento.
141403,14.14.03,Guincho intramunicipal em construção civil.
141404,14.14.04,Guindaste e içamento em construção civil.
150101,15.01.01,Administração de fundos quaisquer e congêneres.
150102,15.01.02,Administração de consórcio e congêneres.
150103,15.01.03,Administração de cartão de crédito ou débito e congêneres.
150104,15.01.04,Administração de carteira de clientes e congêneres.
150105,15.01.05,Administração de cheques pré-datados e congêneres.
150201,15.02.01,"Abertura de conta-corrente no País, bem como a manutenção da referida conta ativa e inativa."
150202,15.02.02,"Abertura de conta-corrente no exterior, bem como a manutenção da referida conta ativa e inativa."
150203,15.02.03,"Abertura de conta de investimentos e aplicação no País, bem como a manutenção da referida conta ativa e inativa."
150204,15.02.04,"Abertura de conta de investimentos e aplicação no exterior, bem como a manutenção da referida conta ativa e inativa."
150205,15.02.05,"Abertura de caderneta de poupança no País, bem como a manutenção da referida conta ativa e inativa."
150206,15.02.06,"Abertura de caderneta de poupança no exterior, bem como a manutenção da referida conta ativa e inativa."
150207,15.02.07,"Abertura de contas em geral no País, não abrangida em outro subitem, bem como a manutenção das referidas contas ativas e inativas."
150208,15.02.08,"Abertura de contas em geral no exterior, não abrangida em outro subitem, bem como a manutenção das referidas contas ativas e inativas."
150301,15.03.01,Locação de cofres particulares.
150302,15.03.02,Manutenção de cofres particulares.
150303,15.03.03,Locação de terminais eletrônicos.
150304,15.03.04,Manutenção de terminais eletrônicos.
150305,15.03.05,Locação de terminais de atendimento.
150306,15.03.06,Manutenção de terminais de atendimento.
150307,15.03.07,Locação de bens e equipamentos em geral.
150308,15.03.08,Manutenção de bens e equipamentos em geral.
150401,15.04.01,"Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres."
150501,15.05.01,"Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres."
150502,15.05.02,Inclusão no Cadastro de Emitentes de Cheques sem Fundos - CCF.
150503,15.05.03,Exclusão no Cadastro de Emitentes de Cheques sem Fundos - CCF.
150504,15.05.04,Inclusão em quaisquer outros bancos cadastrais.
150505,15.05.05,Exclusão em quaisquer outros bancos cadastrais.
150601,15.06.01,"Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral"
150602,15.06.02,Abono de firmas.
150603,15.06.03,"Coleta e entrega de documentos, bens e valores."
150604,15.06.04,Comunicação com outra agência ou com a administração central.
150605,15.06.05,Licenciamento eletrônico de veículos.
150606,15.06.06,Transferência de veículos.
150607,15.06.07,Agenciamento fiduciário ou depositário.
150608,15.06.08,Devolução de bens em custódia.
150701,15.07.01,"Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex."
150702,15.07.02,"Acesso a terminais de atendimento, inclusive vinte e quatro horas."
150703,15.07.03,Acesso a outro banco e à rede compartilhada.
150704,15.07.04,"Fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo."
150801,15.08.01,"Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito."
150802,15.08.02,"Estudo, análise e avaliação de operações de crédito."
150803,15.08.03,"Emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres."
150804,15.08.04,"Serviços relativos à abertura de crédito, para quaisquer fins."
150901,15.09.01,"Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing)."
151001,15.10.01,"Serviços relacionados a cobranças em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento."
151002,15.10.02,"Serviços relacionados a recebimentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento."
151003,15.10.03,"Serviços relacionados a pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento."
151004,15.10.04,"Serviços relacionados a fornecimento de posição de cobrança, recebimento ou pagamento."
151005,15.10.05,"Serviços relacionados a emissão de carnês, fichas de compensação, impressos e documentos em geral."
151101,15.11.01,"Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados."
151201,15.12.01,"Custódia em geral, inclusive de títulos e valores mobiliários."
151301,15.13.01,"Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio."
151302,15.13.02,Serviços relacionados a emissão de registro de exportação ou de crédito.
151303,15.13.03,Serviços relacionados a cobrança ou depósito no exterior.
151304,15.13.04,"Serviços relacionados a emissão, fornecimento e cancelamento de cheques de viagem."
151305,15.13.05,"Serviços relacionados a fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas."
151306,15.13.06,Serviços relacionados a envio e recebimento de mensagens em geral relacionadas a operações de câmbio.
151401,15.14.01,"Fornecimento, emissão, reemissão de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres."
151402,15.14.02,"Renovação de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres."
151403,15.14.03,"Manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres."
151501,15.15.01,Compensação de cheques e títulos quaisquer.
151502,15.15.02,"Serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento."
151601,15.16.01,"Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo."
151602,15.16.02,"Serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral."
151701,15.17.01,"Emissão e fornecimento de cheques quaisquer, avulso ou por talão."
151702,15.17.02,"Devolução de cheques quaisquer, avulso ou por talão."
151703,15.17.03,"Sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão."
151801,15.18.01,"Serviços relacionados a crédito imobiliário, de avaliação e vistoria de imóvel ou obra."
151802,15.18.02,"Serviços relacionados a crédito imobiliário, de análise técnica e jurídica."
151803,15.18.03,"Serviços relacionados a crédito imobiliário, de emissão, reemissão, alteração, transferência e renegociação de contrato."
151804,15.18.04,"Serviços relacionados a crédito imobiliário, de emissão e reemissão do termo de quitação."
151805,15.18.05,Demais serviços relacionados a crédito imobiliário.
160101,16.01.01,Serviços de transporte coletivo municipal rodoviário de passageiros.
160102,16.01.02,Serviços de transporte coletivo municipal metroviário de passageiros.
160103,16.01.03,Serviços de transporte coletivo municipal ferroviário de passageiros.
160104,16.01.04,Serviços de transporte coletivo municipal aquaviário de passageiros.
160201,16.02.01,Outros serviços de transporte de natureza municipal.
170101,17.01.01,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista."
170102,17.01.02,"Análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares."
170201,17.02.01,"Datilografia, digitação, estenografia e congêneres."
170202,17.02.02,"Expediente, secretaria em geral, apoio e infra-estrutura administrativa e congêneres."
170203,17.02.03,Resposta audível e congêneres.
170204,17.02.04,"Redação, edição, revisão e congêneres."
170205,17.02.05,"Interpretação, tradução e congêneres."
170301,17.03.01,"Planejamento, coordenação, programação ou organização técnica."
170302,17.03.02,"Planejamento, coordenação, programação ou organização financeira."
170303,17.03.03,"Planejamento, coordenação, programação ou organização administrativa."
170401,17.04.01,"Recrutamento, agenciamento, seleção e colocação de mão-de-obra."
170501,17.05.01,"Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço."
170601,17.06.01,"Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários."
170801,17.08.01,Franquia (franchising).
170901,17.09.01,"Perícias, laudos, exames técnicos e análises técnicas."
171001,17.10.01,"Planejamento, organização e administração de feiras, exposições, e congêneres."
171002,17.10.02,"Planejamento, organização e administração de congressos e congêneres."
171101,17.11.01,Organização de festas e recepções.
171102,17.11.02,"Bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS)."
171201,17.12.01,"Administração em geral, inclusive de bens e negócios de terceiros."
171301,17.13.01,Leilão e congêneres.
171401,17.14.01,Advocacia
171501,17.15.01,"Arbitragem de qualquer espécie, inclusive jurídica."
171601,17.16.01,Auditoria.
171701,17.17.01,Análise de Organização e Métodos.
171801,17.18.01,Atuária e cálculos técnicos de qualquer natureza.
171901,17.19.01,"Contabilidade, inclusive serviços técnicos e auxiliares."
172001,17.20.01,Consultoria e assessoria econômica ou financeira.
