codigo,codigo_formatado,descricao
250101,25.01.01,"Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamento, embelezamento, conservação ou restauração de cadáveres."
250201,25.02.01,Translado intramunicipal de corpos e partes de corpos cadavéricos.
250202,25.02.02,Cremação de corpos e partes de corpos cadavéricos.
250301,25.03.01,Planos ou convênio funerários.
250401,25.04.01,Manutenção e conservação de jazigos e cemitérios.
250501,25.05.01,Cessão de uso de espaços em cemitérios para sepultamento.
260101,26.01.01,"Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas."
260102,26.01.02,Serviços de courrier e congêneres.
270101,27.01.01,Serviços de assistência social.
280101,28.01.01,Serviços de avaliação de bens e serviços de qualquer natureza.
290101,29.01.01,Serviços de biblioteconomia.
300101,30.01.01,Serviços de biologia e biotecnologia.
300102,30.01.02,Serviços de química.
310101,31.01.01,Serviços técnicos em edificações e congêneres.
310102,31.01.02,"Serviços técnicos em eletrônica, eletrotécnica e congêneres."
310103,31.01.03,Serviços técnicos em mecânica e congêneres.
310104,31.01.04,Serviços técnicos em telecomunicações e congêneres.
320101,32.01.01,Serviços de desenhos técnicos.
330101,33.01.01,"Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres."
340101,34.01.01,"Serviços de investigações particulares, detetives e congêneres."
350101,35.01.01,Serviços de reportagem e jornalismo.
350102,35.01.02,Serviços de assessoria de imprensa.
350103,35.01.03,Serviços de relações públicas.
360101,36.01.01,Serviços de meteorologia.
370101,37.01.01,"Serviços de artistas, atletas, modelos e manequins."
380101,38.01.01,Serviços de museologia.
390101,39.01.01,Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço).
400101,40.01.01,Obras de arte sob encomenda.
990101,99.01.01,Serviços sem a incidência de ISSQN e ICMS
